vessel_nz,vessel_name,vessel_number,Qmean,Pmean,Pmean/Qmean,R1,R2,Qmean/Pmean
middle_cerebral_middle_temporal_branch_T57_L,T_middle_cerebral_middle_temporal_branch_ORG01_T57_L_1395,1395,0.1708533895512234,106915.3618529059,0.0,135433.0,541733.0,625772.5534959417
artery_of_postcentral_sulcus_T37_L,T_artery_of_postcentral_sulcus_ORG01_T37_L_1400,1400,0.16142189220002837,96667.16423182489,0.0,119822.0,479287.0,598847.9190420982
middle_cerebral_posterior_temporo_occipital_branch_T59_L,T_middle_cerebral_posterior_temporo_occipital_branch_ORG01_T59_L_1399,1399,0.1810881168164537,93459.11459114673,0.0,106482.0,425928.0,516097.44600676646
middle_cerebral_posterior_temporal_branch_T58_L,T_middle_cerebral_posterior_temporal_branch_ORG01_T58_L_1397,1397,0.2023692990931443,98183.84775761592,0.0,106482.0,425928.0,485171.6549772945
anterior_parietal_T35_L,T_anterior_parietal_ORG01_T35_L_1394,1394,0.12498726536916424,95223.95103578921,0.0,153827.0,615307.0,761869.2252729455
posterior_parietal_T64_L,T_posterior_parietal_ORG01_T64_L_1403,1403,0.20753448876401193,92967.46188390811,0.0,95023.7,380095.0,447961.5047965434
middle_cerebral_branch_to_angular_gyrus_T56_L,T_middle_cerebral_branch_to_angular_gyrus_ORG01_T56_L_1402,1402,0.2605631202394234,93399.80166460162,0.0,76527.9,306112.0,358453.65061171906
callosomarginal_intermediomedial_frontal_branch_T41_L,T_callosomarginal_intermediomedial_frontal_branch_ORG01_T41_L_1411,1411,0.1753698734383846,107010.6676944018,0.0,132110.0,528439.0,610199.8341921568
callosomarginal_posteromedial_frontal_branch_T43_L,T_callosomarginal_posteromedial_frontal_branch_ORG01_T43_L_1412,1412,0.2322409663104607,102335.38793671413,0.0,93967.3,375869.0,440643.13700758445
callosomarginal_cingular_branch_T40_L,T_callosomarginal_cingular_branch_ORG01_T40_L_1414,1414,0.1828668157904771,102834.1938303308,0.0,124248.0,496990.0,562344.750116691
callosomarginal_paracentral_branch_T42_L,T_callosomarginal_paracentral_branch_ORG01_T42_L_1406,1406,0.16726905540957362,98286.90830995483,0.0,124248.0,496990.0,587597.6765056173
medial_occipital_occipitotemporal_branch_T52_L,P_medial_occipital_occipitotemporal_branch_ORG01_T52_L_1420,1420,0.08479093494035858,117365.0152038277,0.0,310946.0,1243790.0,1384169.3724262095
medial_occipital_parietal_branch_T53_L,P_medial_occipital_parietal_branch_ORG01_T53_L_1454,1454,0.04704441766695105,109059.281453998,0.0,519306.0,2077220.0,2318219.394829766
medial_occipital_parieto_occipital_branch_T54_L,T_medial_occipital_parieto_occipital_branch_ORG01_T54_L_1419,1419,0.22028491010151743,106923.32297935507,0.0,106655.0,426618.0,485386.5066385159
medial_occipital_calcarine_branch_T51_L,P_medial_occipital_calcarine_branch_ORG01_T51_L_1389,1389,0.08565452324628313,117727.50892762069,0.0,310946.0,1243790.0,1374445.9074171465
anterior_choroidal_T98_R,A_anterior_choroidal_ORG01_T98_R_2752,2752,0.33738490016415373,125173.05368507936,0.0,nan,nan,371009.6498811202
lateral_frontobasal_T110_R,T_lateral_frontobasal_ORG01_T110_R_2721,2721,0.10037923059942121,111988.8470281913,0.0,233019.0,932076.0,1115657.5554469037
prefrontal_T130_R,T_prefrontal_ORG01_T130_R_2722,2722,0.1687762374192731,105051.58720683647,0.0,119822.0,479287.0,622431.1479694137
artery_of_central_sulcus_T101_R,T_artery_of_central_sulcus_ORG01_T101_R_2725,2725,0.1566659484170607,99015.93551450218,0.0,119822.0,479287.0,632019.5072059417
artery_of_precentral_sulcus_T103_R,T_artery_of_precentral_sulcus_ORG01_T103_R_2724,2724,0.16514012134846118,101017.95755428473,0.0,119822.0,479287.0,611710.5687546841
