name,BC_type,vessel_type,inp_vessels,out_vessels
   middle_cerebral_posterior_temporal_branch_T122_R96_T,pp_controller,terminal2,middle_cerebral_posterior_temporal_branch_T122_R92   feedback    feedback_MCAR,
   middle_cerebral_posterior_temporal_branch_T58_L158_T,pp_controller,terminal2,middle_cerebral_posterior_temporal_branch_T58_L154     feedback    feedback_MCAL,
   middle_cerebral_posterior_temp_occipital_branch_T123_R94_T,pp_controller,terminal2,middle_cerebral_posterior_temporal_branch_T122_R92   feedback    feedback_MCAR,
   middle_cerebral_posterior_temp_occipital_branch_T59_L156_T,pp_controller,terminal2,middle_cerebral_posterior_temporal_branch_T58_L154     feedback    feedback_MCAL,
   pericallosal_parieto_occipital_branch_T124_R226_T,pp_controller,terminal2,pericallosal_R228    feedback     feedback_ACAR,
   pericallosal_parieto_occipital_branch_T60_L30_T,pp_controller,terminal2,pericallosal_L32    feedback       feedback_ACAL,
   pericallosal_precuneal_branch_T125_R230_T,pp_controller,terminal2,pericallosal_R232    feedback    feedback_ACAR,
   pericallosal_precuneal_branch_T61_L34_T,pp_controller,terminal2,pericallosal_L36    feedback     feedback_ACAL,
   polar_temporal_T127_R76_T,pp_controller,terminal2,middle_cerebral_inferior_terminal_branch_R74   feedback    feedback_MCAR,
   polar_temporal_T63_L138_T,pp_controller,terminal2,middle_cerebral_inferior_terminal_branch_L136   feedback     feedback_MCAL,
   posterior_parietal_T129_R106_T,pp_controller,terminal2,middle_cerebral_branch_to_angular_gyrus_T120_R104    feedback   feedback_MCAR,
   posterior_parietal_T64_L168_T,pp_controller,terminal2,middle_cerebral_branch_to_angular_gyrus_T56_L166   feedback    feedback_MCAL,
   prefrontal_T130_R64_T,pp_controller,terminal2,middle_cerebral_superior_terminal_branch_R62    feedback    feedback_MCAR,
   prefrontal_T65_L126_T,pp_controller,terminal2,middle_cerebral_superior_terminal_branch_L124    feedback    feedback_MCAL,
feedback,nn,pressure_observer,internal_carotid_R8, lateral_occipital_intermediate_temporal_branch_T47_L20_T   lateral_occipital_intermediate_temporal_branch_T76_R216_T     medial_occipital_calcarine_branch_T51_L202_T   medial_occipital_calcarine_branch_T79_R270_T   medial_occipital_occipitotemporal_branch_T52_L190_T   medial_occipital_occipitotemporal_branch_T80_R258_T   medial_occipital_parietal_branch_T53_L196_T   medial_occipital_parietal_branch_T81_R264_T    anterior_choroidal_T34_L116_T    anterior_choroidal_T98_R54_T   anterior_parietal_T100_R100_T   anterior_parietal_T35_L162_T   artery_of_central_sulcus_T101_R70_T   artery_of_central_sulcus_T36_L132_T   artery_of_postcentral_sulcus_T102_R88_T  artery_of_postcentral_sulcus_T37_L150_T  artery_of_precentral_sulcus_T103_R72_T  artery_of_precentral_sulcus_T38_L134_T  callosomarginal_cingular_branch_T105_R250_T  callosomarginal_cingular_branch_T40_L182_T  callosomarginal_intermediomedial_frontal_branch_T106_R242_T  callosomarginal_intermediomedial_frontal_branch_T41_L174_T  callosomarginal_paracentral_branch_T107_R254_T   callosomarginal_paracentral_branch_T42_L186_T   callosomarginal_posteromedial_frontal_branch_T108_R246_T   callosomarginal_posteromedial_frontal_branch_T43_L178_T   distal_medial_striate_T109_R236_T   distal_medial_striate_T44_L40_T   lateral_frontobasal_T110_R60_T   lateral_frontobasal_T45_L122_T  lateral_occipital_anterior_temporal_branch_T111_R212_T   lateral_occipital_anterior_temporal_branch_T46_L16_T   lateral_occipital_posterior_temporal_branch_T112_R220_T   lateral_occipital_posterior_temporal_branch_T48_L24_T  medial_occipital_parieto_occipital_branch_T118_R266_T  medial_occipital_parieto_occipital_branch_T54_L198_T  middle_cerebral_anterior_temporal_branch_T119_R80_T  middle_cerebral_anterior_temporal_branch_T55_L142_T  middle_cerebral_branch_to_angular_gyrus_T120_R108_T  middle_cerebral_branch_to_angular_gyrus_T56_L170_T  middle_cerebral_middle_temporal_branch_T121_R84_T   middle_cerebral_middle_temporal_branch_T57_L146_T   middle_cerebral_posterior_temporal_branch_T122_R96_T   middle_cerebral_posterior_temporal_branch_T58_L158_T   middle_cerebral_posterior_temp_occipital_branch_T123_R94_T   middle_cerebral_posterior_temp_occipital_branch_T59_L156_T   pericallosal_parieto_occipital_branch_T124_R226_T   pericallosal_parieto_occipital_branch_T60_L30_T   pericallosal_precuneal_branch_T125_R230_T   pericallosal_precuneal_branch_T61_L34_T   polar_temporal_T127_R76_T   polar_temporal_T63_L138_T   posterior_parietal_T129_R106_T   posterior_parietal_T64_L168_T   prefrontal_T130_R64_T   prefrontal_T65_L126_T 
feedback_PCAL,nn,flow_observer,posterior_cerebral_postcommunicating_part_L12,  lateral_occipital_intermediate_temporal_branch_T47_L20_T   medial_occipital_calcarine_branch_T51_L202_T  medial_occipital_occipitotemporal_branch_T52_L190_T  medial_occipital_parietal_branch_T53_L196_T     lateral_occipital_anterior_temporal_branch_T46_L16_T    lateral_occipital_posterior_temporal_branch_T48_L24_T   medial_occipital_parieto_occipital_branch_T54_L198_T
feedback_PCAR,nn,flow_observer,posterior_cerebral_postcommunicating_part_R208,lateral_occipital_intermediate_temporal_branch_T76_R216_T      medial_occipital_calcarine_branch_T79_R270_T     medial_occipital_occipitotemporal_branch_T80_R258_T  medial_occipital_parietal_branch_T81_R264_T   lateral_occipital_anterior_temporal_branch_T111_R212_T     lateral_occipital_posterior_temporal_branch_T112_R220_T    medial_occipital_parieto_occipital_branch_T118_R266_T
feedback_MCAL,nn,flow_observer,middle_cerebral_L114, anterior_choroidal_T34_L116_T  anterior_parietal_T35_L162_T  artery_of_central_sulcus_T36_L132_T    artery_of_postcentral_sulcus_T37_L150_T  artery_of_precentral_sulcus_T38_L134_T    lateral_frontobasal_T45_L122_T   middle_cerebral_anterior_temporal_branch_T55_L142_T    middle_cerebral_branch_to_angular_gyrus_T56_L170_T   middle_cerebral_middle_temporal_branch_T57_L146_T  middle_cerebral_posterior_temporal_branch_T58_L158_T   middle_cerebral_posterior_temp_occipital_branch_T59_L156_T     polar_temporal_T63_L138_T  posterior_parietal_T64_L168_T   prefrontal_T65_L126_T
feedback_MCAR,nn,flow_observer,middle_cerebral_R52,anterior_choroidal_T98_R54_T   anterior_parietal_T100_R100_T   artery_of_central_sulcus_T101_R70_T   artery_of_postcentral_sulcus_T102_R88_T   artery_of_precentral_sulcus_T103_R72_T  lateral_frontobasal_T110_R60_T   middle_cerebral_anterior_temporal_branch_T119_R80_T   middle_cerebral_branch_to_angular_gyrus_T120_R108_T    middle_cerebral_middle_temporal_branch_T121_R84_T  middle_cerebral_posterior_temporal_branch_T122_R96_T  middle_cerebral_posterior_temp_occipital_branch_T123_R94_T  polar_temporal_T127_R76_T   posterior_parietal_T129_R106_T   prefrontal_T130_R64_T
feedback_ACAL,nn,flow_observer,anterior_cerebral_L110, callosomarginal_cingular_branch_T40_L182_T       callosomarginal_intermediomedial_frontal_branch_T41_L174_T    callosomarginal_paracentral_branch_T42_L186_T   callosomarginal_posteromedial_frontal_branch_T43_L178_T   distal_medial_striate_T44_L40_T    pericallosal_parieto_occipital_branch_T60_L30_T   pericallosal_precuneal_branch_T61_L34_T
feedback_ACAR,nn,flow_observer,anterior_cerebral_R46, callosomarginal_cingular_branch_T105_R250_T    callosomarginal_intermediomedial_frontal_branch_T106_R242_T  callosomarginal_paracentral_branch_T107_R254_T  callosomarginal_posteromedial_frontal_branch_T108_R246_T    distal_medial_striate_T109_R236_T     pericallosal_parieto_occipital_branch_T124_R226_T     pericallosal_precuneal_branch_T125_R230_T
