variable_name,units,comp_env,value,data_reference
R_T_anterior_cerebral_R,Js_per_m6,systemic,1.0e+9,to_be_identified
v_nom_anterior_cerebral_L,m3_per_s,systemic,1.550e-6,ADAN_218
v_nom_anterior_cerebral_R,m3_per_s,systemic,1.550e-6,ADAN_218
C_T_anterior_cerebral_L,m6_per_J,systemic,10e-12,to_be_identified
C_T_anterior_cerebral_R,m6_per_J,systemic,10e-12,to_be_identified
R_T_arm_L,Js_per_m6,systemic,8.1449e+09,28_10_2021_identified
R_T_arm_R,Js_per_m6,systemic,8.1449e+09,28_10_2021_identified
v_nom_arm_L,m3_per_s,systemic,1.565e-6,ADAN_218
v_nom_arm_R,m3_per_s,systemic,1.548e-6,ADAN_218
C_T_arm_L,m6_per_J,systemic,100e-12,to_be_identified
C_T_arm_R,m6_per_J,systemic,100e-12,to_be_identified
r_ascending_aorta_A,metre,systemic,15.642e-03,ADAN_86
r_ascending_aorta_B,metre,systemic,15.08e-03,ADAN_86
r_ascending_aorta_C,metre,systemic,14.5305e-03,ADAN_86
r_ascending_aorta_D,metre,systemic,13.914e-03,ADAN_86
r_aortic_arch_C2,metre,systemic,13.3364e-03,ADAN_86
r_brachiocephalic_trunk_C4,metre,systemic,6.41887e-03,ADAN_86
r_aortic_arch_C46,metre,systemic,12.76710e-03,ADAN_86
r_aortic_arch_C64,metre,systemic,12.42880e-03,ADAN_86
r_aortic_arch_C94,metre,systemic,11.7401e-03,ADAN_86
r_thoracic_aorta_C96,metre,systemic,10.4579e-03,ADAN_86
r_thoracic_aorta_C100,metre,systemic,10.2897e-03,ADAN_86
r_thoracic_aorta_C104,metre,systemic,10.0681e-03,ADAN_86
r_thoracic_aorta_C108,metre,systemic,9.87279e-03,ADAN_86
r_thoracic_aorta_C112,metre,systemic,8.47543e-03,ADAN_86
r_abdominal_aorta_C114,metre,systemic,7.51533e-03,ADAN_86
r_abdominal_aorta_C136,metre,systemic,7.42666e-03,ADAN_86
r_abdominal_aorta_C164,metre,systemic,7.29199e-03,ADAN_86
r_abdominal_aorta_C176,metre,systemic,7.18902e-03,ADAN_86
r_abdominal_aorta_C188,metre,systemic,6.79934e-03,ADAN_86
r_abdominal_aorta_C192,metre,systemic,6.12422e-03,ADAN_86
r_posterior_intercostal_T1_R98,metre,systemic,1.4e-03,ADAN_86
r_posterior_intercostal_T1_L102,metre,systemic,1.4e-03,ADAN_86
r_posterior_intercostal_T2_R106,metre,systemic,1.55e-03,ADAN_86
r_posterior_intercostal_T2_L110,metre,systemic,1.55e-03,ADAN_86
r_celiac_trunk_C116,metre,systemic,3.29653e-03,ADAN_86
r_splenic_T2_C118,metre,systemic,2.16682e-03,ADAN_86
r_left_gastric_T3_C120,metre,systemic,1.50666e-03,ADAN_86
r_splenic_T2_C122,metre,systemic,2.16682e-03,ADAN_86
r_dorsal_pancreatic_T1_C124,metre,systemic,0.558491e-03,ADAN_86
r_splenic_T2_C126,metre,systemic,2.16682e-03,ADAN_86
r_common_hepatic_C128,metre,systemic,2.68614e-03,ADAN_86
r_hepatic_artery_proper_C130,metre,systemic,1.77555e-03,ADAN_86
r_hepatic_artery_proper_left_branch_C132,metre,systemic,1.1663e-03,ADAN_86
r_hepatic_artery_proper_right_branch_C134,metre,systemic,1.42068e-03,ADAN_86
r_superior_mesenteric_T4_C138,metre,systemic,3.72737e-03,ADAN_86
r_middle_colic_T8_C140,metre,systemic,1.425e-03,ADAN_86
r_superior_mesenteric_T4_C142,metre,systemic,3.40146e-03,ADAN_86
r_jejunal_3_T10_C144,metre,systemic,1.58037e-03,ADAN_86
r_superior_mesenteric_T4_C146,metre,systemic,3.06914e-03,ADAN_86
r_jejunal_6_T11_C148,metre,systemic,1.58037e-03,ADAN_86
r_superior_mesenteric_T4_C150,metre,systemic,2.85201e-03,ADAN_86
r_ileocolic_T9_C152,metre,systemic,2.0e-03,ADAN_86
r_superior_mesenteric_T4_C154,metre,systemic,2.69257e-03,ADAN_86
r_ileal_4_T12_C156,metre,systemic,1.8015e-03,ADAN_86
r_superior_mesenteric_T4_C158,metre,systemic,2.49385e-03,ADAN_86
r_ileal_6_T13_C160,metre,systemic,1.80150e-03,ADAN_86
r_superior_mesenteric_T4_C162,metre,systemic,2.18233e-03,ADAN_86
r_renal_L166,metre,systemic,2.73574e-03,ADAN_86
r_renal_anterior_branch_L168,metre,systemic,2.48193e-03,ADAN_86
r_inferior_segmental_T5_L170,metre,systemic,1.92732e-03,ADAN_86
r_superior_segmental_T4_L172,metre,systemic,1.92732e-03,ADAN_86
r_renal_posterior_branch_T3_L174,metre,systemic,1.59319e-03,ADAN_86
r_renal_R178,metre,systemic,2.96767e-03,ADAN_86
r_renal_anterior_branch_R180,metre,systemic,2.48193e-03,ADAN_86
r_superior_segmental_T4_R182,metre,systemic,1.92732e-03,ADAN_86
r_inferior_segmental_T5_R184,metre,systemic,1.92732e-03,ADAN_86
r_renal_posterior_branch_T3_R186,metre,systemic,1.59319e-03,ADAN_86
r_inferior_mesenteric_T5_C190,metre,systemic,2.07748e-03,ADAN_86
r_common_iliac_R216,metre,systemic,4.30633e-03,ADAN_86
r_internal_iliac_T1_R218,metre,systemic,2.81829e-03,ADAN_86
r_external_iliac_R220,metre,systemic,3.28821e-03,ADAN_86
r_femoral_R222,metre,systemic,3.17347e-03,ADAN_86
r_common_iliac_L194,metre,systemic,4.28142e-03,ADAN_86
r_internal_iliac_T1_L196,metre,systemic,2.81829e-03,ADAN_86
r_external_iliac_L198,metre,systemic,3.28821e-03,ADAN_86
r_femoral_L200,metre,systemic,3.17347e-03,ADAN_86
r_subclavian_R28,metre,systemic,4.52027e-03,ADAN_86
r_subclavian_R30,metre,systemic,3.32268e-03,ADAN_86
r_axillary_R32,metre,systemic,2.18463e-03,ADAN_86
r_brachial_R34,metre,systemic,1.96732e-03,ADAN_86
r_ulnar_T2_R36,metre,systemic,1.408e-03,ADAN_86
r_common_interosseous_R38,metre,systemic,0.959006e-03,ADAN_86
r_posterior_interosseous_T3_R40,metre,systemic,0.675992e-03,ADAN_86
r_ulnar_T2_R42,metre,systemic,1.408e-03,ADAN_86
r_radial_T1_R44,metre,systemic,1.378e-03,ADAN_86
r_subclavian_L66,metre,systemic,3.99235e-03,ADAN_86
r_subclavian_L78,metre,systemic,2.90824e-03,ADAN_86
r_axillary_L80,metre,systemic,2.18463e-03,ADAN_86
r_brachial_L82,metre,systemic,1.96732e-03,ADAN_86
r_ulnar_T2_L84,metre,systemic,1.408e-03,ADAN_86
r_common_interosseous_L86,metre,systemic,0.959006e-03,ADAN_86
r_posterior_interosseous_T3_L88,metre,systemic,0.675992e-03,ADAN_86
r_ulnar_T2_L90,metre,systemic,1.408e-03,ADAN_86
r_radial_T1_L92,metre,systemic,1.378e-03,ADAN_86
r_common_carotid_R6_A,metre,systemic,4.43053e-03,ADAN_86
r_common_carotid_R6_B,metre,systemic,4.137e-03,ADAN_86
r_common_carotid_R6_C,metre,systemic,3.64938e-03,ADAN_86
r_internal_carotid_R8_A,metre,systemic,2.53763e-03,ADAN_86
r_internal_carotid_R8_B,metre,systemic,2.04793e-03,ADAN_86
r_internal_carotid_R8_C,metre,systemic,1.56726e-03,ADAN_86
r_external_carotid_R26,metre,systemic,2.26547e-03,ADAN_86
r_common_carotid_L48_A,metre,systemic,4.36635e-03,ADAN_86
r_common_carotid_L48_B,metre,systemic,4.12756e-03,ADAN_86
r_common_carotid_L48_C,metre,systemic,3.92047e-03,ADAN_86
r_common_carotid_L48_D,metre,systemic,3.57978e-03,ADAN_86
r_internal_carotid_L50_A,metre,systemic,2.53763e-03,ADAN_86
r_internal_carotid_L50_B,metre,systemic,2.04793e-03,ADAN_86
r_internal_carotid_L50_C,metre,systemic,1.56726e-03,ADAN_86
r_external_carotid_L62,metre,systemic,2.26547e-03,ADAN_86
r_vertebral_L2,metre,systemic,0.133527e-2,ADAN_86
r_vertebral_R272,metre,systemic,0.133527e-2,ADAN_86
r_basilar_C4,metre,systemic,0.172394e-2,ADAN_218
r_posterior_cerebral_pre_L6,metre,systemic,0.0816459e-2,ADAN_218
r_posterior_cerebral_pre_R204,metre,systemic,0.0816459e-2,ADAN_218
r_posterior_communicating_L8,metre,systemic,0.0494463e-2,ADAN_218
r_posterior_communicating_R206,metre,systemic,0.0494463e-2,ADAN_218
r_posterior_cerebral_post_L12,metre,systemic,0.0869072e-2,ADAN_218
r_posterior_cerebral_post_R208,metre,systemic,0.0869072e-2,ADAN_218
r_occipital_lateral_L14,metre,systemic,0.064999e-2,ADAN_218
r_occipital_lateral_R210,metre,systemic,0.0649994e-2,ADAN_218
r_lateral_occipital_anterior_temporal_branch_T46_L16,metre,systemic,0.06e-2,ADAN_218
r_lateral_occipital_anterior_temporal_branch_T111_R212,metre,systemic,0.06e-2,ADAN_218
r_occipital_lateral_L18,metre,systemic,0.0649994e-2,ADAN_218
r_occipital_lateral_R214,metre,systemic,0.0649994e-2,ADAN_218
r_lateral_occipital_intermediate_temporal_branch_T47_L20,metre,systemic,0.028e-2,ADAN_218
r_lateral_occipital_intermediate_temporal_branch_T76_R216,metre,systemic,0.028e-2,ADAN_218
r_occipital_lateral_L22,metre,systemic,0.0649994e-2,ADAN_218
r_occipital_lateral_R218,metre,systemic,0.0649994e-2,ADAN_218
r_lateral_occipital_posterior_temporal_branch_T48_L24,metre,systemic,0.0375006e-2,ADAN_218
r_lateral_occipital_posterior_temporal_branch_T112_R220,metre,systemic,0.0375006e-2,ADAN_218
r_medial_occipital_L26,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_R222,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_dorsal_branch_to_corpus_callosum_L28,metre,systemic,0.0349979e-2,ADAN_218
r_medial_occipital_dorsal_branch_to_corpus_callosum_R224,metre,systemic,0.0349979e-2,ADAN_218
r_pericallosal_parieto_occipital_branch_T60_L30,metre,systemic,0.0421522e-2,ADAN_218
r_pericallosal_parieto_occipital_branch_T124_R226,metre,systemic,0.0421522e-2,ADAN_218
r_pericallosal_L32,metre,systemic,0.0800314e-2,ADAN_218
r_pericallosal_R228,metre,systemic,0.0800314e-2,ADAN_218
r_pericallosal_precuneal_branch_T61_L34,metre,systemic,0.0477132e-2,ADAN_218
r_pericallosal_precuneal_branch_T125_R230,metre,systemic,0.0477132e-2,ADAN_218
r_pericallosal_L36,metre,systemic,0.0800314e-2,ADAN_218
r_pericallosal_R232,metre,systemic,0.0800314e-2,ADAN_218
r_anterior_cerebral_L38,metre,systemic,0.0965045e-2,ADAN_218
r_anterior_cerebral_R234,metre,systemic,0.0965045e-2,ADAN_218
r_distal_medial_striate_T44_L40,metre,systemic,0.027251e-2,ADAN_218
r_distal_medial_striate_T109_R236,metre,systemic,0.027251e-2,ADAN_218
r_anterior_cerebral_L42,metre,systemic,0.0965045e-2,ADAN_218
r_anterior_cerebral_R238,metre,systemic,0.0965045e-2,ADAN_218
r_anterior_communicating_C44,metre,systemic,0.0656645e-2,ADAN_218
r_anterior_cerebral_L110,metre,systemic,0.0965045e-2,ADAN_218
r_anterior_cerebral_R46,metre,systemic,0.0965045e-2,ADAN_218
r_internal_carotid_L112,metre,systemic,0.132843e-2,ADAN_218
r_internal_carotid_R48,metre,systemic,0.132843e-2,ADAN_218
r_middle_cerebral_L114,metre,systemic,0.104132e-2,ADAN_218
r_middle_cerebral_R52,metre,systemic,0.104132e-2,ADAN_218
r_anterior_choroidal_T34_L116,metre,systemic,0.0519606e-2,ADAN_218
r_anterior_choroidal_T98_R54,metre,systemic,0.0519606e-2,ADAN_218
r_middle_cerebral_L118,metre,systemic,0.104132e-2,ADAN_218
r_middle_cerebral_R56,metre,systemic,0.104132e-2,ADAN_218
r_middle_cerebral_superior_terminal_branch_L120,metre,systemic,0.0877201e-2,ADAN_218
r_middle_cerebral_superior_terminal_branch_R58,metre,systemic,0.0877201e-2,ADAN_218
r_lateral_frontobasal_T45_L122,metre,systemic,0.0385346e-2,ADAN_218
r_lateral_frontobasal_T110_R60,metre,systemic,0.0385346e-2,ADAN_218
r_middle_cerebral_superior_terminal_branch_L124,metre,systemic,0.0877201e-2,ADAN_218
r_middle_cerebral_superior_terminal_branch_R62,metre,systemic,0.0877201e-2,ADAN_218
r_prefrontal_T65_L126,metre,systemic,0.0480986e-2,ADAN_218
r_prefrontal_T130_R64,metre,systemic,0.0480986e-2,ADAN_218
r_middle_cerebral_superior_terminal_branch_L128,metre,systemic,0.0877201e-2,ADAN_218
r_middle_cerebral_superior_terminal_branch_R66,metre,systemic,0.0877201e-2,ADAN_218
r_artery_of_precentral_sulcus_T38_L130,metre,systemic,0.0480986e-2,ADAN_218
r_artery_of_precentral_sulcus_T103_R68,metre,systemic,0.0480986e-2,ADAN_218
r_artery_of_central_sulcus_T36_L132,metre,systemic,0.0480986e-2,ADAN_218
r_artery_of_central_sulcus_T101_R70,metre,systemic,0.0480986e-2,ADAN_218
r_artery_of_precentral_sulcus_T38_L134,metre,systemic,0.0480986e-2,ADAN_218
r_artery_of_precentral_sulcus_T103_R72,metre,systemic,0.0480986e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_L136,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_R74,metre,systemic,0.0816459e-2,ADAN_218
r_polar_temporal_T63_L138,metre,systemic,0.0309894e-2,ADAN_218
r_polar_temporal_T127_R76,metre,systemic,0.0309894e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_L140,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_R78,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_anterior_temporal_branch_T55_L142,metre,systemic,0.0442556e-2,ADAN_218
r_middle_cerebral_anterior_temporal_branch_T119_R80,metre,systemic,0.0442556e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_L144,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_R82,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_middle_temporal_branch_T57_L146,metre,systemic,0.046174e-2,ADAN_218
r_middle_cerebral_middle_temporal_branch_T121_R84,metre,systemic,0.046174e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_L148,metre,systemic,0.0816459e-2,ADAN_218
